id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23163,Residence Karolina - KAROL12,5282,Klara,,Praha 1,50.08229,14.41552,Entire home/apt,,1,31,2024-06-15,0.17,71,0,0,
23169,Residence Masna - Masna302,5282,Klara,,Praha 1,50.0883,14.42272,Entire home/apt,,1,123,2025-06-04,0.67,71,23,3,
26755,Central Prague Old Town Top Floor,113902,Daniel+Bea,,Praha 1,50.08729,14.43179,Entire home/apt,3379,3,425,2025-06-02,3.46,3,81,55,
30762,Residence Rybna - Rybna23,5282,Klara,,Praha 1,50.08821,14.42623,Entire home/apt,,1,17,2025-05-06,0.10,71,35,1,
42514,"""NEWLY FURNISHED"" 1BR near Pachtuv Palace,Old Town",185641,Victoria,,Praha 1,50.08228,14.41345,Entire home/apt,3767,7,333,2023-04-30,1.84,1,362,0,
52148,Colorful 2BDR Family Apartment,227945,Alex And Kate,,Praha 2,50.0709,14.43157,Entire home/apt,,1,286,2025-06-18,1.61,97,64,44,
55844,Renovated Klimt Studio by Ruterra next to Muzeum,227945,Alex And Kate,,Praha 2,50.07834,14.43302,Entire home/apt,2045,2,510,2025-06-11,2.86,97,67,60,
55856,Renovated Apartment behind National Museum,227945,Alex And Kate,,Praha 2,50.07724,14.43383,Entire home/apt,2449,2,420,2025-06-20,2.35,97,70,52,
70003,Yellow Ruterra studio,227945,Alex And Kate,,Praha 3,50.08655,14.4512,Entire home/apt,1322,2,287,2025-06-08,1.66,97,74,39,
75298,Prague  Studio  Old  Town,398991,Emanuele,,Praha 1,50.092285,14.4329,Entire home/apt,1787,3,37,2024-09-30,0.34,2,178,2,
79373,Residence Masna - Masna201,5282,Klara,,Praha 1,50.08844,14.42424,Entire home/apt,,1,54,2025-06-09,0.31,71,35,2,
79381,Residence Masna - Masna504,5282,Klara,,Praha 1,50.08943,14.42373,Entire home/apt,,1,19,2024-07-06,0.11,71,31,1,
79387,Residence Masna - Masna203,5282,Klara,,Praha 1,50.08943,14.42373,Entire home/apt,,1,35,2025-05-30,0.20,71,24,7,
79711,Ostrovni 7 Apartments,5282,Klara,,Praha 1,50.08051,14.41487,Entire home/apt,,1,20,2024-02-25,0.13,71,31,0,
83067,Old Town Apartment Charles Bridge 3,315332,Lubos & Marta,,Praha 1,50.08409,14.41352,Entire home/apt,2492,3,270,2025-06-06,1.58,14,97,35,
83855,Old Town Apartment Charles Bridge 4,315332,Lubos & Marta,,Praha 1,50.08409,14.41352,Entire home/apt,3080,3,305,2025-05-26,1.92,14,105,46,
83856,Charles Bridge Old Town Apartment 5,315332,Lubos & Marta,,Praha 1,50.08385,14.41463,Entire home/apt,2988,3,454,2025-06-01,2.63,14,103,48,
85790,Grande apartment 43 with River View,383698,Veronika,,Praha 1,50.07744,14.4141,Entire home/apt,4795,1,156,2025-05-27,0.93,39,330,18,
98852,In the heart of historic Prague!!,517329,Terezie,,Praha 1,50.08588,14.42145,Entire home/apt,2027,2,668,2025-06-20,3.87,1,244,49,
106207,Welcome To The Jungle Studio By Ruterra,227945,Alex And Kate,,Praha 3,50.08655,14.4512,Entire home/apt,1730,2,368,2025-06-16,2.17,97,67,47,
109549,Prague Old Town apartment - 2 bdr,565267,Taťjana,,Praha 1,50.09104,14.42533,Entire home/apt,1683,14,177,2025-06-03,1.05,1,315,5,
111141,"Blue Ruterra ""Stay Like a Local"" Studio",227945,Alex And Kate,,Praha 3,50.08655,14.4512,Entire home/apt,1145,2,273,2025-05-16,1.61,97,83,29,
112281,Gorgeous Rose 2BDR Ruterra Suite,227945,Alex And Kate,,Praha 1,50.08005,14.42756,Entire home/apt,2570,2,279,2025-06-17,1.67,97,64,21,
117451,Charming Loft with a Great Terrace!,546587,Kristina,,Praha 5,50.06625,14.40245,Entire home/apt,1862,1,358,2025-06-12,2.18,2,139,30,
146690,"*Spacious,2bdrooms,central,quiet*",589265,Jan,,Praha 3,50.08529,14.44532,Entire home/apt,2060,7,420,2025-06-10,2.47,2,51,27,
167878,Lovely riverview flat with a balcony and a marina,800205,Peter,,Praha 8,50.10546,14.4707,Entire home/apt,4714,10,0,,,1,88,0,
173114,Old Town Square Quiet Chic Apartment,826315,Idan & Marta,,Praha 1,50.091067734318685,14.423598800541122,Entire home/apt,2458,3,447,2025-06-03,2.65,2,303,51,
176243,3BR Old Town Square Apartment 130m2,838198,Michael,,Praha 1,50.08827218384488,14.423229476115441,Entire home/apt,4952,4,470,2025-05-11,2.88,44,201,36,
181641,Krizovnicka apt - Charles Bridge,870664,Jan,,Praha 1,50.08685,14.41432,Entire home/apt,1241,2,184,2020-01-26,1.13,6,38,0,
181951,Opletalova Comfortable Apartment,870664,Jan,,Praha 1,50.08267,14.42895,Entire home/apt,1156,2,145,2024-08-05,0.87,6,47,2,
182072,CITY CENTRE Polska Spacious 2-Bdr Apartment,870664,Jan,,Praha 3,50.0795,14.44812,Entire home/apt,1787,2,36,2024-07-08,0.21,6,61,1,
182772,Charles Bridge Wiew Old Town 1 BR Apartment,315332,Lubos & Marta,,Praha 1,50.08354,14.41276,Entire home/apt,2800,3,260,2025-06-02,1.54,14,63,54,
186750,Studio 1 - Family/friendly flat close to center,783726,Mathieu,,Praha 3,50.08499,14.45316,Entire home/apt,1619,3,651,2025-06-16,4.16,3,167,79,
201908,Nova - only 10min to Charles Bridge,955586,Eric,,Praha 5,50.08033,14.40353,Entire home/apt,,1,52,2025-01-31,0.32,8,0,6,
202545,Milena- 4 Br 2 Ba 3 Wc - 10min from Charles Bridge,955586,Eric,,Praha 5,50.07912,14.40417,Entire home/apt,5104,1,55,2025-04-10,0.33,8,170,4,
207373,Stunning River View apartment ★★★★★,383698,Veronika,,Praha 1,50.07688,14.41391,Entire home/apt,5699,1,298,2025-05-25,1.86,39,329,43,
208007,Tasteful apartment with River View - 62,383698,Veronika,,Praha 1,50.07687,14.41414,Entire home/apt,5036,1,160,2025-03-31,0.97,39,348,10,
209774,Fantastic central Prague 3 Bedroom for 12- PC A21,383698,Veronika,,Praha 1,50.07923186310829,14.419146421482571,Entire home/apt,5079,1,92,2025-03-23,0.56,39,331,15,
215586,Kundera 3 Br 4 minutes walk from Wenceslas Square,955586,Eric,,Praha 5,50.07902,14.40382,Entire home/apt,5281,1,24,2025-03-07,0.16,8,11,1,
224386,Elegant Prague Central Exclusive flat - 13 3B,383698,Veronika,,Praha 1,50.09146,14.41863,Entire home/apt,5699,1,186,2025-05-30,1.24,39,336,15,
224457,Prague Praha Centre Charles Bridge,1167278,Jane And George,,Praha 1,50.088111877441406,14.409708976745605,Entire home/apt,2765,2,280,2025-04-11,1.67,1,10,10,
247267,Apartment Central Prague Old Town Self check-in,113902,Daniel+Bea,,Praha 1,50.08704,14.43397,Entire home/apt,2035,3,541,2025-06-04,3.26,3,147,46,
254484,QUIET MIRACULOUS APARTMENT in PRG 1,1336827,Hana,,Praha 1,50.086,14.40397,Entire home/apt,2184,1,270,2025-05-27,1.65,2,259,10,
278550,Spacious 3 bedroom flat in Prague Central,383698,Veronika,,Praha 1,50.08102,14.41932,Entire home/apt,5079,1,190,2025-05-31,1.17,39,332,37,
279773,Great Life Right Smack in Center!!!,843497,Frantisek,,Praha 1,50.08915,14.4186,Entire home/apt,2153,2,622,2025-06-09,3.92,1,206,71,
287716,Residence Karolina - KAROL43,5282,Klara,,Praha 1,50.08229,14.41552,Entire home/apt,,1,35,2024-12-26,0.24,71,21,4,
287727,Residence Rybna - Rybna11,5282,Klara,,Praha 1,50.08821,14.42623,Entire home/apt,,1,13,2024-08-20,0.09,71,31,1,
287734,Residence Rybna - Rybna31,5282,Klara,,Praha 1,50.08821,14.42623,Entire home/apt,,1,34,2024-12-09,0.26,71,26,1,
304027,"Romantic, Family PENSION & HOSTEL",1564885,Vladimír,,Praha 2,50.07472,14.4226,Shared room,864,1,247,2024-06-08,1.59,5,355,0,
318204,The flat with spacious bedroom at I.P. Pavlova,1629431,Alex & Natalia,,Praha 2,50.07306,14.4311,Entire home/apt,1771,2,323,2025-06-06,2.00,19,229,48,
320262,Prague's Downtown Apartments,1629431,Alex & Natalia,,Praha 2,50.07396,14.43007,Entire home/apt,1741,2,362,2025-06-05,2.28,19,237,48,
324586,Grand Luxury Attic Klimentska - Old Town Square,1660663,Rached,,Praha 1,50.09227,14.43225,Entire home/apt,6055,3,89,2025-06-09,0.57,7,337,4,
342963,"Jane's Attic Apartment, easy access to centre",31121,Jana,,Praha 15,50.05381,14.53234,Entire home/apt,1235,2,196,2025-06-17,1.22,4,80,14,
342968,Charming Loft Apartment near the City Center,31121,Jana,,Praha 15,50.053535,14.531203,Entire home/apt,1303,2,143,2025-06-08,0.89,4,74,8,
346142,Apartment by famous Dancing House with 2 bedrooms,383698,Veronika,,Praha 2,50.07583,14.41401,Entire home/apt,3832,1,99,2025-05-29,0.64,39,319,17,
408724,Green Cimburkova Apartment Ruterra,227945,Alex And Kate,,Praha 3,50.08667,14.45122,Entire home/apt,1733,2,292,2025-06-16,1.85,97,63,46,
415145,Grand Luxury Attic Josefov - Old Town Square,1660663,Rached,,Praha 1,50.09123,14.42331,Entire home/apt,11387,3,268,2025-06-08,1.69,7,287,30,
448629,Charming family B&B breakfast incl,1366084,Jakub,,Praha 1,50.0876,14.39812,Private room,,2,60,2025-04-22,0.54,7,0,8,
465196,Exclusive flat near Old Town - PC Ex22 2B,383698,Veronika,,Praha 1,50.08955,14.41992,Entire home/apt,4795,1,196,2025-05-28,1.24,39,337,20,
474544,Modern Apartment with a Garden,2352592,Klara,,Dolní Měcholupy,50.05734,14.55457,Entire home/apt,1292,1,62,2025-06-15,0.39,1,49,6,
493375,The Yak Boutique - Eco-friendly and stylish place,2399088,Caroline,,Praha 8,50.09191,14.45083,Private room,,2,247,2025-03-23,1.56,1,0,13,
498646,Bookseller's Sunny Flat,2453534,Roman,,Praha 2,50.07181,14.41646,Entire home/apt,2007,3,382,2025-06-04,2.41,1,305,24,
536364,"Fashion Loft 5-Bedrooms, 3-Bathrooms (Old Town)",9345552,Romana,,Praha 1,50.08082,14.42138,Entire home/apt,10185,2,250,2025-06-01,1.84,44,302,27,
537019,Residence Karolina - KAROL41,5282,Klara,,Praha 1,50.08229,14.41552,Entire home/apt,,1,23,2024-05-06,0.15,71,26,0,
561841,PRAGUE 3 ŽIŽKOV - PERFECT LOCATION,2729239,Marketa,,Praha 3,50.09283,14.49104,Private room,435,28,54,2019-01-01,0.34,1,223,0,
595310,Quiet leafy street near centre,2941533,Alexandra,,Praha 3,50.08068,14.45372,Entire home/apt,1560,6,197,2025-05-08,1.27,2,104,10,
599948,Grand Luxury Attic Olivova II -  Wenceslas Square,1660663,Rached,,Praha 1,50.08312,14.43043,Entire home/apt,9601,3,139,2025-06-15,0.90,7,284,18,
628063,Atelier Loretánská no.5 / 150m from Prague Castle,3118998,Daniela,,Praha 1,50.08869,14.39497,Entire home/apt,1005,21,306,2025-05-31,2.13,3,130,26,
647564,Atlantis 7 - Old Town,3174648,Petr,,Praha 1,50.089508056640625,14.425211906433105,Entire home/apt,,2,105,2025-06-02,0.68,13,331,32,
652527,STUDIO APARTMENTS IN PRAGUE CENTER,3279605,Elena And Kira,,Praha 2,50.07326,14.43171,Entire home/apt,,1,301,2023-12-04,1.93,16,356,0,
652633,FAMILY ❤️ APARTMENTS IN PRAGUE CENTER,3279605,Elena And Kira,,Praha 2,50.07284,14.42976,Entire home/apt,,1,73,2024-02-25,0.48,16,346,0,
661323,"Residence Mostecka,Tortuga",3338799,Veronika,,Praha 1,50.08666,14.40388,Entire home/apt,2262,2,114,2025-06-16,1.10,1,220,12,
662810,Apartment Loretanska /150m from Prague Castle,3118998,Daniela,,Praha 1,50.08864,14.39495,Entire home/apt,1675,21,285,2025-05-10,1.98,3,181,19,
662817,Studio Loretánská no.5 / 150m from Prague Castle,3118998,Daniela,,Praha 1,50.08865,14.39481,Entire home/apt,1072,21,294,2025-04-30,2.42,3,38,19,
667478,BOOK NOW 💙HOTEL💙 IN PRAGUE CENTER,3279605,Elena And Kira,,Praha 2,50.0704,14.42886,Entire home/apt,,1,173,2020-11-22,1.11,16,364,0,
668858,City Center Heights  No.4 Studio with A/C,2635161,Pavel,,Praha 1,50.09043,14.41918,Entire home/apt,2634,2,62,2025-06-09,0.51,5,178,6,
668880,City Center Heights No.5 1-Bedroom with A/C,2635161,Pavel,,Praha 1,50.09061,14.41986,Entire home/apt,2733,2,71,2025-06-15,0.57,5,269,10,
668902,City Center Heights No.3 2-Bedroom with A/C,2635161,Pavel,,Praha 1,50.09061,14.41986,Entire home/apt,3449,2,107,2025-06-02,0.82,5,249,12,
668908,City Center Heights No.6 2-Bedroom with A/C,2635161,Pavel,,Praha 1,50.09061,14.41986,Entire home/apt,3449,2,69,2025-06-16,0.53,5,257,15,
673821,STUDIO2 APARTMENTS IN PRAGUE CENTER,3279605,Elena And Kira,,Praha 2,50.07484,14.43101,Entire home/apt,,1,208,2024-03-31,1.34,16,344,0,
679022,Apartmán Cometa pro 4,3455951,Casa Italia Prague,,Praha 8,50.09275,14.45136,Entire home/apt,2788,1,175,2025-06-11,1.61,10,266,30,
679276,"Prague Center, 2+1 rooms apartment",3457205,Marek,,Praha 5,50.07798,14.40526,Entire home/apt,3032,2,78,2025-06-01,0.50,1,193,10,
681166,✮✮✮  HOTEL ✮✮✮ 10 MIN CITY CENTER💙,3279605,Elena And Kira,,Praha 2,50.06952,14.43071,Entire home/apt,,1,403,2023-04-23,2.60,16,364,0,
690105,The BEST place in Prague - Old Town,1199726,Monika,,Praha 1,50.08944,14.41913,Entire home/apt,4398,1,773,2025-06-19,4.99,2,300,67,
691240,"Central apartment suite, city centr",3533590,Andy,,Praha 2,50.07693,14.43056,Entire home/apt,2623,3,326,2025-06-02,2.11,7,309,43,
691380,"Sunny Prague Terrace Apartment,",3533590,Andy,,Praha 9,50.10753,14.48969,Entire home/apt,1858,3,155,2025-06-05,1.10,7,271,33,
692045,"Modern flat, 75m2, ideal for 2 (+1)",3537968,Petr,,Praha 5,50.07931,14.38053,Entire home/apt,,5,29,2025-05-05,0.19,1,0,4,
696261,The house and the Old Town Square,3327137,Pavel,,Praha 1,50.08818,14.42567,Entire home/apt,9924,7,144,2020-06-22,0.94,1,151,0,
696837,"Old town PopArt apt, AC, hot-tub, balcony & views!",3568804,Magnus,,Praha 1,50.08246,14.41346,Entire home/apt,2266,3,551,2025-06-09,3.63,8,334,64,
699944,Villa in Bio Garden Central Prague,3590595,Pavel,,Praha 10,50.06802,14.48399,Entire home/apt,3007,5,29,2017-01-03,0.20,2,364,0,
701644,👑 HOTEL IN PRAGUE CENTER 👑,3279605,Elena And Kira,,Praha 2,50.07026,14.43089,Entire home/apt,,1,141,2022-02-27,0.95,16,364,0,
706726,"HARLEQUIN APARTMENT, PRAGUE CENTER",3228013,Kira And Irina,,Praha 2,50.07397,14.43056,Entire home/apt,5232,1,161,2024-10-04,1.04,35,364,1,
707963,Studio just below Prague Castle,3640353,Anezka,,Praha 1,50.08879,14.40003,Entire home/apt,1751,2,116,2024-12-25,0.77,1,312,6,
708571,RUSTIC2 APARTMENTS IN⭐️ PRAGUE ⭐️CENTER⭐️,3279605,Elena And Kira,,Praha 2,50.07504,14.43163,Entire home/apt,,1,124,2023-12-08,0.81,16,364,0,
711288,"""APARTMENT 43"" IN CENTER OF PRAGUE",3228013,Kira And Irina,,Praha 2,50.07397,14.43056,Entire home/apt,,1,65,2024-08-24,0.42,35,357,1,
733462,NEW TOWN - Studio Balcony,3287258,David,,Praha 1,50.07984,14.42627,Private room,2983,1,18,2025-03-24,0.18,25,148,1,
735375,Apartment Audrey,3763896,Evgeny,,Praha 1,50.07822,14.42178,Entire home/apt,1683,2,225,2025-02-01,1.48,14,119,2,
747785,"""ALICE APARTMENT"" PRAGUE CENTER!",3228013,Kira And Irina,,Praha 2,50.07397,14.43056,Entire home/apt,,1,152,2025-06-08,0.99,35,342,17,
747830,"❤️""APARTMENT №55"" IN ❤️CENTER OF PRAGUE❤️",3228013,Kira And Irina,,Praha 2,50.07397,14.43056,Entire home/apt,,1,25,2025-05-18,0.16,35,359,5,
757660,"Prague, a room with private kitchen",3990737,Renata,,Praha 6,50.08247,14.32032,Private room,1145,2,56,2025-05-04,0.36,4,280,2,
760597,Apt. with terrace GARSONKA 3,3456260,Dagmar,,Praha 8,50.09124,14.44153,Entire home/apt,1590,4,87,2025-06-02,0.59,1,79,5,
777881,"Central,Cheap,2Rooms,2Baths,WIFI #1",4102236,Bonny,,Praha 3,50.08612,14.44505,Entire home/apt,2823,2,3,2015-05-03,0.02,6,25,0,
780659,"Central,Cheap,2Rooms,2Baths,WIFI #2",4102236,Bonny,,Praha 3,50.0858,14.4472,Entire home/apt,2851,2,11,2025-06-01,0.07,6,24,3,
780866,"Central,Cheap&LovelyWIFI Apartment1",4102236,Bonny,,Praha 3,50.08718,14.44483,Entire home/apt,1424,2,408,2025-06-16,2.69,6,35,54,
782440,"Central,Cheap&Lovely Miniapartment2",4102236,Bonny,,Praha 3,50.08704,14.44539,Private room,943,3,428,2025-06-16,2.82,6,30,51,
782489,"Central,Cheap&Lovely Miniapartment3",4102236,Bonny,,Praha 3,50.08525,14.44513,Private room,1067,3,404,2025-06-19,2.71,6,38,49,
782770,"Central,Cheap&Lovely Miniapartment4",4102236,Bonny,,Praha 3,50.0852,14.44644,Private room,840,3,394,2025-06-16,2.62,6,28,49,
790196,Chic Apartment walk to Old Town Square,1240390,Sarah,,Praha 1,50.0815,14.42123,Entire home/apt,2739,1,777,2025-06-01,5.10,18,312,42,
797201,Studio Old Town Square,1556914,Eugenia,,Praha 1,50.08787,14.42235,Entire home/apt,2453,2,10,2024-12-25,0.07,1,313,1,
814677,Kozna Loft A 2-Bedrooms (Prague Old Town),9345552,Romana,,Praha 1,50.08588,14.42116,Entire home/apt,3965,2,56,2024-07-31,0.41,44,238,1,
814687,Kozna Loft D 2-Bedrooms (Old Town),9345552,Romana,,Praha 1,50.08588,14.42116,Entire home/apt,3965,2,18,2024-12-07,0.15,44,255,1,
814691,"Kozna Loft B 3-Bedrooms, 2-Bathrooms (Old Town)",9345552,Romana,,Praha 1,50.08588,14.42116,Entire home/apt,4826,2,175,2025-05-31,1.19,44,258,21,
814705,"Kozna Loft AB 5-Bedrooms, 3-Bathrooms (Old Town)",9345552,Romana,,Praha 1,50.08588,14.42116,Entire home/apt,9547,2,77,2025-05-08,0.53,44,208,13,
818081,Room in the Center of Old Town,4279290,Vincent,,Praha 1,50.09014,14.42619,Private room,917,2,857,2025-06-14,5.65,12,244,68,
820954,Featured Telegraph NP VIEWS of Ch-Bridge 1st floor,3961711,MJMorris S.R.O. /Veronika And Ilan,,Praha 1,50.08754,14.40874,Entire home/apt,5556,1,255,2025-06-16,1.79,2,230,36,
822456,Naplavka apartment,383698,Veronika,,Praha 2,50.07692,14.41433,Entire home/apt,3832,1,163,2025-06-06,1.14,39,305,46,
843670,"Cozy 2BR at Mustek, Heart of Prague",4404457,Michal,,Praha 1,50.08431,14.423,Entire home/apt,2531,3,199,2025-05-30,1.31,1,13,19,
847192,APARTMAN FAMILY IN PRAGUE CENTER 2,3279605,Elena And Kira,,Praha 2,50.07489,14.43138,Entire home/apt,,1,99,2022-11-03,0.66,16,347,0,
874150,"Charming family B&B, breakfast inl.",1366084,Jakub,,Praha 1,50.08754,14.39813,Private room,1613,2,42,2025-04-22,0.37,7,4,2,
874212,Apartment Letna I - Prague Centrum,4615124,Julius,,Praha 7,50.10039,14.4313,Entire home/apt,1692,3,78,2025-06-10,0.53,2,68,6,
874482,Apartment Letna II - Prague Centrum,4615124,Julius,,Praha 7,50.09884,14.42953,Entire home/apt,2309,3,68,2025-04-21,0.46,2,68,6,
876329,Bed and breakfast suite,1366084,Jakub,,Praha 1,50.0876,14.39812,Private room,,2,26,2025-01-05,0.25,7,0,1,
882759,BELLEZZA APARTMENT IN PRAGUE CENTER,3228013,Kira And Irina,,Praha 2,50.07397,14.43056,Entire home/apt,,1,71,2024-09-02,0.47,35,361,2,
888475,*One Bedroom Apartment*,4711560,Clown And Bard,,Praha 3,50.08267,14.44669,Entire home/apt,,1,137,2025-03-30,0.96,9,0,3,
933489,"""APARTMENT №54"" IN CENTER OF PRAGUE",3228013,Kira And Irina,,Praha 2,50.07397,14.43056,Entire home/apt,,1,116,2025-06-05,0.80,35,307,15,
933583,★STUDIO★ APARTMENT IN ♥PRAGUE♥ CENTER★,3228013,Kira And Irina,,Praha 2,50.07397,14.43056,Entire home/apt,5508,1,213,2025-06-09,1.43,35,357,4,
933836,HOTEL IN PRAGUE CENTER,3228013,Kira And Irina,,Praha 2,50.0706,14.43003,Entire home/apt,2768,1,174,2025-04-20,1.17,35,364,2,
935534,Comfy apartment in central Prague,48087076,Eva,,Praha 4,50.05958,14.42289,Entire home/apt,1025,2,213,2025-06-17,1.57,1,112,23,
939413,💙BOOK NOW💙BIG STUDIO IN PRAGUE CENTER💙,3279605,Elena And Kira,,Praha 2,50.07368,14.4294,Entire home/apt,5563,1,162,2025-06-16,1.08,16,285,2,
970935,"Apartman Siroka 14, Prag 1 Old Town",5306055,Alan,,Praha 1,50.09015,14.41849,Entire home/apt,2929,1,210,2025-04-04,1.42,2,138,31,
976660,Letenský Montmartre - apartament 2a,3321411,Kateřina,,Praha 7,50.10003,14.41659,Entire home/apt,1996,3,143,2025-06-15,0.96,4,211,13,
977301,STUDIO2 APARTMENTS IN PRAGUE CENTER,3228013,Kira And Irina,,Praha 2,50.07397,14.43056,Entire home/apt,5508,1,144,2025-05-29,0.98,35,365,2,
987875,Artistic & Comfortable Flat Near Centre of Prague,5421290,Lenka Lorien,,Praha 14,50.10851,14.5387,Private room,2321,2,21,2025-06-01,0.16,1,345,2,
991924,Central Old Town-Private Shower+Sink,4279290,Vincent,,Praha 1,50.09143,14.4281,Private room,1226,2,632,2025-06-02,4.25,12,255,44,
993197,Prague5Apartment *GREAT LOCATION*PARKING*Spring 25,5455963,Luci,,Praha 5,50.06521,14.35803,Entire home/apt,2550,2,24,2025-03-01,0.16,2,364,9,
994758,Modern Apt. in Centre Charles Bridge 15min walk,5463516,Zuzana & Seven Keys Team,,Praha 5,50.07705,14.40825,Entire home/apt,1804,1,472,2025-06-15,3.20,77,94,46,
995953,Cozy attic apartment for 4 persons,5471587,Milada,,Praha 2,50.06524,14.42953,Entire home/apt,1350,1,202,2020-01-26,1.37,1,0,0,
1000103,In between parks and close to town,350742,Milana,,Praha 7,50.101610288785814,14.429512329504329,Entire home/apt,1748,3,47,2025-06-01,0.32,1,197,16,
1000340,Big 3 rooms flat longterm f students Prague center,5499789,Pecunia,,Praha 1,50.0824,14.42333,Entire home/apt,1697,21,106,2021-09-06,0.75,1,238,0,
1015821,"Superb location, romantic, Wi-Fi",5589792,Eva,,Praha 1,50.08687,14.39608,Entire home/apt,1516,30,43,2025-05-20,0.32,3,240,5,
1020234,HOME SWEET HOME in heart of Prague,227945,Alex And Kate,,Praha 1,50.08478,14.42096,Entire home/apt,2878,2,583,2025-06-05,3.92,97,35,61,
1043941,Appartment by VYSEHRAD 15 min to Prague centre,5746830,Michaela A Jan,,Praha 4,50.0638,14.43642,Entire home/apt,4000,2,113,2025-06-01,0.77,1,165,5,
1064538,Apartmá kompletně vybaveny s klimatizací,5858896,Tomas,,Praha 9,50.10757,14.50244,Private room,,2,6,2024-06-03,0.06,1,0,0,
1064766,new apartment 10min.from the cent.,5859805,David,,Praha 7,50.10569,14.43433,Entire home/apt,1142,2,845,2025-04-02,5.72,1,223,58,
1072946,"Flat-20min to center,O2 arena 1,5km",5902035,Andrea,,Praha 9,50.09532716485353,14.50264386959819,Entire home/apt,3333,3,67,2025-06-16,0.46,2,364,7,
1073417,Prague Center San Wenceslao,5904742,Giuseppe,,Praha 1,50.07822,14.42362,Entire home/apt,4962,3,32,2025-06-01,0.26,1,282,3,
1081430,"Kozi Loft 3-Bedrooms, 2-Bathrooms (Old Town)",9345552,Romana,,Praha 1,50.08977,14.42237,Entire home/apt,5400,2,341,2025-06-06,2.32,44,293,49,
1101093,WEEKEND A PRAGUE!!,6047750,Marketa,,Praha 7,50.10398,14.44845,Entire home/apt,1729,3,170,2025-06-19,1.15,1,252,25,
1103679,Apartment just 10' to the old town,6061627,Katerina,,Praha 3,50.08818,14.46965,Entire home/apt,1087,6,11,2017-01-04,0.07,1,48,0,
1111076,"Suite Prague Apartment - Duplex, with Terrace",6095154,Robert,,Praha 1,50.08143,14.42135,Entire home/apt,3377,3,178,2025-05-12,1.20,2,205,12,
1116016,"The summer in Prague, Capital of CZ",6125001,Luboš,,Praha 8,50.13338,14.46444,Entire home/apt,984,1,308,2025-06-14,2.11,1,252,47,
1143098,Kozi Loft Atelier 1-Bedroom (Prague Old Town),9345552,Romana,,Praha 1,50.08977,14.42237,Entire home/apt,2370,2,291,2025-06-01,2.04,44,299,34,
1151056,Vintage Prague at Old Town Sq. with Fireplace,6308722,Sabina,,Praha 1,50.08754,14.41994,Entire home/apt,4066,2,661,2025-05-30,4.51,2,196,54,
1153832,Grand Luxury Attic Hastalska - Old Town Square,1660663,Rached,,Praha 1,50.09169,14.42618,Entire home/apt,8827,3,192,2025-06-08,1.32,7,297,18,
1165444,STUDIO4 ❤️APARTMENTS❤️  IN ⭐️ PRAGUE CENTRE ⭐️,3279605,Elena And Kira,,Praha 2,50.07283,14.4296,Entire home/apt,,1,144,2023-12-13,0.99,16,361,0,
1167382,"Superb location,romantic loft,Wi-Fi",5589792,Eva,,Praha 1,50.08827,14.39989,Entire home/apt,1959,30,136,2025-05-14,0.95,3,359,6,
1169103,Family Apartment  AM,6401971,Jiri,,Praha 2,50.07183074951172,14.438589096069336,Entire home/apt,5392,1,6,2023-06-01,0.13,19,289,0,
1184697,You Will Save Money Here -Whole Apt,3590595,Pavel,,Praha 4,50.04435,14.45453,Entire home/apt,2791,3,35,2025-06-04,0.24,2,364,1,
1200137,Dreams of Provence Ruterra Studio,227945,Alex And Kate,,Praha 3,50.086501,14.451264,Entire home/apt,1858,2,411,2025-06-16,2.81,97,65,59,
1201907,"""APARTMENT №46"" IN CENTER OF PRAGUE",3228013,Kira And Irina,,Praha 2,50.07283,14.43086,Entire home/apt,,1,14,2024-05-29,0.10,35,359,0,
1202743,RUSTIC APARTMENTS IN ⭐️ PRAGUE CENTER,3279605,Elena And Kira,,Praha 2,50.07441,14.4294,Entire home/apt,,1,11,2018-12-26,0.07,16,364,0,
1221884,Wenceslas Sq & Museum 3 mins walk!,811185,Jaroslav,,Praha 2,50.0777,14.43316,Entire home/apt,,2,238,2025-01-03,1.64,2,0,15,
1230431,Garden apartment near the center,6711190,Lubica,,Praha 7,50.1045,14.4464,Entire home/apt,2829,3,140,2025-05-04,1.35,2,11,1,
1231557,Cozy apartment with a backyard,4403561,Jan,,Praha 10,50.07123,14.4496,Entire home/apt,2729,3,72,2025-06-02,0.50,1,170,16,
1238371,"Apartment in City Center, WiFi free",6750861,Nadia,,Praha 5,50.07902,14.40655,Entire home/apt,2180,3,42,2025-05-18,0.34,2,269,8,
1244351,Stay Praha Apartment,6095154,Robert,,Praha 1,50.08153,14.42024,Entire home/apt,3272,3,17,2025-02-04,1.20,2,150,10,
1249820,Modern nice flat near to the center,6711190,Lubica,,Praha 7,50.10439,14.44738,Entire home/apt,,5,16,2024-05-20,0.16,2,0,0,
1250455,"CHARMING, EN-SUITE ROOM WITH KITCHENETTE, PRAGUE 1",6116742,Sabina,,Praha 2,50.07648,14.42681,Private room,1700,3,441,2025-04-22,3.02,2,155,1,
